"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         171,      -6.920246059,      -6.521752558,      -6.811088465,      -6.739469183,      -6.291187429,      -9.625623623
          0,           0,         172,      -6.929267803,      -6.525031931,      -6.815137397,      -6.743775137,      -6.300210812,       -9.62835572
          0,           0,         173,      -6.937538763,      -6.528335098,      -6.819225378,      -6.748112203,      -6.308523996,      -9.631053442
          0,           0,         174,      -6.945083574,      -6.531646818,       -6.82333736,      -6.752629724,      -6.316121271,      -9.633710071
          0,           0,         175,      -6.951550739,      -6.534968066,      -6.827469422,      -6.757136927,      -6.322644555,      -9.636320591
          0,           0,         176,      -6.957294274,      -6.538293023,      -6.831611907,      -6.761580872,      -6.328442299,      -9.638883314
          0,           0,         177,      -6.962595851,      -6.541619649,      -6.835762929,      -6.766010664,        -6.3337595,      -9.641400934
          0,           0,         178,      -6.967503503,      -6.544943446,      -6.839924896,      -6.770490944,      -6.338641031,      -9.643879642
          0,           0,         179,      -6.972435102,      -6.548272308,      -6.844104791,      -6.775010103,       -6.34354262,      -9.646316389
          0,           0,         180,      -6.977362567,       -6.55160316,       -6.84829246,      -6.779566762,      -6.348416606,      -9.648722852
          0,           0,         181,      -6.982647843,      -6.554959165,      -6.852483227,      -6.784187136,       -6.35362722,      -9.651104164
          0,           0,         182,      -6.987974856,      -6.558323172,      -6.856677536,      -6.788839823,      -6.358892555,      -9.653458298
          0,           0,         183,      -6.993068496,      -6.561682599,      -6.860873505,      -6.793515274,      -6.363936582,      -9.655883032
          0,           0,         184,      -6.998175492,      -6.565102628,      -6.865082515,      -6.798219352,      -6.368993272,      -9.658262053
          0,           0,         185,       -7.00342619,      -6.568548934,      -6.869296913,      -6.803009055,      -6.374194304,      -9.660569241
          0,           0,         186,      -7.009036251,       -6.57199454,      -6.873500572,      -6.807905454,      -6.379754982,      -9.662856014
          0,           0,         187,      -7.014733301,      -6.575438046,      -6.877687908,      -6.812779641,      -6.385416206,      -9.665121576
          0,           0,         188,      -7.020951201,      -6.578875078,      -6.881859037,      -6.817745506,        -6.3915893,      -9.667356563
          0,           0,         189,       -7.02752724,      -6.582298538,      -6.886011438,      -6.822780685,      -6.398141745,      -9.669561844
          0,           0,         190,        -7.0337594,      -6.585708392,      -6.890137909,      -6.827763542,       -6.40440216,      -9.671734289
          0,           0,         191,      -7.040402516,      -6.589082226,      -6.894221328,      -6.832693437,      -6.411034149,      -9.673883457
          0,           0,         192,      -7.048276097,      -6.592407793,      -6.898254477,      -6.837604793,      -6.418831524,      -9.676011923
          0,           0,         193,      -7.055535586,      -6.595656035,      -6.902230383,      -6.842511038,      -6.426101843,      -9.678122638
          0,           0,         194,      -7.062341056,      -6.598813609,      -6.906117571,       -6.84737192,      -6.432946772,      -9.680223115
          0,           0,         195,      -7.068963535,       -6.60188175,      -6.909899065,      -6.852166873,      -6.439598835,      -9.682323389
          0,           0,         196,      -7.076361224,      -6.604848384,      -6.913570034,      -6.856965897,       -6.44697138,      -9.684427658
          0,           0,         197,      -7.082928278,      -6.607746648,      -6.917131168,       -6.86161766,      -6.453598647,      -9.686546316
          0,           0,         198,      -7.088640988,      -6.610565791,      -6.920567093,      -6.866146575,      -6.459376827,      -9.688688365
          0,           0,         199,      -7.094365801,      -6.613325535,      -6.923881183,      -6.870498876,      -6.465145321,       -9.69085975
          0,           0,         200,      -7.100318908,      -6.616036843,      -6.927075659,      -6.874710959,      -6.471107943,      -9.693065248
          0,           0,         201,      -7.106110123,      -6.618688925,      -6.930157472,      -6.878778178,      -6.476906614,      -9.695314045
          0,           0,         202,      -7.112021391,      -6.621295956,      -6.933126518,      -6.882696579,      -6.482812667,      -9.697600098
          0,           0,         203,      -7.117746144,      -6.623858783,       -6.93599214,      -6.886469206,      -6.488543816,      -9.699917903
          0,           0,         204,      -7.123394915,       -6.62638126,      -6.938766127,      -6.890095468,      -6.494202672,      -9.702272424
          0,           0,         205,      -7.129082337,      -6.628875856,      -6.941458492,      -6.893576013,      -6.499902323,      -9.704661855
          0,           0,         206,      -7.135507433,      -6.631358729,      -6.944085937,      -6.897033877,      -6.506309058,      -9.707079092
          0,           0,         207,      -7.141822655,      -6.633827172,      -6.946669411,      -6.900362024,      -6.512666827,      -9.709515297
          0,           0,         208,      -7.148328353,      -6.636288548,      -6.949216176,      -6.903573521,      -6.519218438,      -9.711963684
          0,           0,         209,      -7.155139381,      -6.638751598,      -6.951748628,       -6.90671316,      -6.526060718,      -9.714422518
          0,           0,         210,        -7.1617066,      -6.641214482,      -6.954284522,      -6.909803084,      -6.532672891,      -9.716891397
          0,           0,         211,      -7.168085864,      -6.643681495,      -6.956835886,      -6.912850318,      -6.539092473,      -9.719372809
          0,           0,         212,      -7.174378063,      -6.646163387,      -6.959419143,       -6.91586651,      -6.545411588,      -9.721860879
          0,           0,         213,       -7.18080758,      -6.648662565,      -6.962050671,      -6.918901245,      -6.551844393,      -9.724368464
          0,           0,         214,      -7.187558269,       -6.65118142,      -6.964749617,      -6.922002011,      -6.558571196,      -9.726891679
          0,           0,         215,      -7.194141602,      -6.653742502,      -6.967528942,      -6.925137473,      -6.565156633,      -9.729428316
          0,           0,         216,      -7.200569902,      -6.656352363,      -6.970397752,      -6.928323535,      -6.571578186,      -9.731973066
          0,           0,         217,      -7.206937821,      -6.659021348,      -6.973367023,      -6.931584639,      -6.577915078,      -9.734517852
          0,           0,         218,      -7.213262943,      -6.661742407,      -6.976444464,      -6.934943507,      -6.584195176,      -9.737054139
          0,           0,         219,      -7.219488099,      -6.664519535,      -6.979637082,      -6.938414054,      -6.590377107,      -9.739574791
          0,           0,         220,      -7.225700767,      -6.667367218,      -6.982947666,      -6.942011936,      -6.596541355,      -9.742074297
          0,           0,         221,      -7.231930928,      -6.670278243,       -6.98638003,      -6.945740121,      -6.602724045,      -9.744549847
          0,           0,         222,      -7.238240829,      -6.673248242,       -6.98993314,      -6.949595927,      -6.608978269,      -9.747001021
          0,           0,         223,      -7.244404671,      -6.676272881,      -6.993604652,       -6.95356994,      -6.615102276,      -9.749426661
          0,           0,         224,      -7.250945183,      -6.679360099,      -6.997386171,      -6.957765432,      -6.621583448,      -9.751825577
          0,           0,         225,      -7.257196572,      -6.682498436,      -7.001277747,       -6.96207281,      -6.627827354,      -9.754198404
          0,           0,         226,      -7.263043425,      -6.685675245,      -7.005268883,      -6.966477408,      -6.633687869,      -9.756542392
          0,           0,         227,      -7.268556633,      -6.688879399,      -7.009348314,      -6.970971966,      -6.639215155,      -9.758854611
          0,           0,         228,       -7.27398655,      -6.692104212,       -7.01350464,      -6.975555653,      -6.644643014,      -9.761139289
          0,           0,         229,      -7.279378206,      -6.695344041,      -7.017728611,      -6.980225973,      -6.650018104,      -9.763384677
          0,           0,         230,      -7.284978871,      -6.698595804,      -7.022013404,      -6.984985984,      -6.655585506,      -9.765605156
          0,           0,         231,      -7.290707383,      -6.701853462,      -7.026344601,      -6.989830306,      -6.661286378,      -9.767810624
          0,           0,         232,      -7.296294315,      -6.705111431,       -7.03070818,      -6.994722525,      -6.666870382,      -9.769995093
          0,           0,         233,       -7.30177856,      -6.708365576,      -7.035089703,      -6.999647507,      -6.672363249,      -9.772155982
          0,           0,         234,      -7.307094166,       -6.71160499,      -7.039476753,      -7.004578309,      -6.677696049,      -9.774293064
          0,           0,         235,      -7.312227245,      -6.714823058,      -7.043855774,      -7.009489995,      -6.682852757,      -9.776408543
