Points_0,Pressure_Coefficient,,,,,,,,,,,,,,,,,,,,,,,
0.879342,0.0209102,,,,,,,,,,,,,,,,,,,,,,,
0.937857,0.0208315,,,,,,,,,,,,,,,,,,,,,,,
1.00297,0.0206787,,,,,,,,,,,,,,,,,,,,,,,
1.0061,0.0207122,,,,,,,,,,,,,,,,,,,,,,,
1.00939,0.0206953,,,,,,,,,,,,,,,,,,,,,,,
1.01285,0.0206887,,,,,,,,,,,,,,,,,,,,,,,
1.0165,0.0206821,,,,,,,,,,,,,,,,,,,,,,,
1.02034,0.0206741,,,,,,,,,,,,,,,,,,,,,,,
1.02438,0.020666,,,,,,,,,,,,,,,,,,,,,,,
1.02863,0.0206575,,,,,,,,,,,,,,,,,,,,,,,
1.03311,0.0206484,,,,,,,,,,,,,,,,,,,,,,,
1.03783,0.0206389,,,,,,,,,,,,,,,,,,,,,,,
1.04279,0.0206289,,,,,,,,,,,,,,,,,,,,,,,
1.04801,0.0206183,,,,,,,,,,,,,,,,,,,,,,,
1.05351,0.0206072,,,,,,,,,,,,,,,,,,,,,,,
1.05929,0.0205954,,,,,,,,,,,,,,,,,,,,,,,
1.06539,0.020583,,,,,,,,,,,,,,,,,,,,,,,
1.0718,0.0205699,,,,,,,,,,,,,,,,,,,,,,,
1.07855,0.0205561,,,,,,,,,,,,,,,,,,,,,,,
1.08565,0.0205415,,,,,,,,,,,,,,,,,,,,,,,
1.09313,0.0205261,,,,,,,,,,,,,,,,,,,,,,,
1.101,0.0205098,,,,,,,,,,,,,,,,,,,,,,,
1.10929,0.0204926,,,,,,,,,,,,,,,,,,,,,,,
1.11801,0.0204744,,,,,,,,,,,,,,,,,,,,,,,
1.12719,0.0204551,,,,,,,,,,,,,,,,,,,,,,,
1.13686,0.0204347,,,,,,,,,,,,,,,,,,,,,,,
1.14703,0.0204131,,,,,,,,,,,,,,,,,,,,,,,
1.15774,0.0203903,,,,,,,,,,,,,,,,,,,,,,,
1.16901,0.0203661,,,,,,,,,,,,,,,,,,,,,,,
1.18088,0.0203405,,,,,,,,,,,,,,,,,,,,,,,
1.19337,0.0203133,,,,,,,,,,,,,,,,,,,,,,,
1.20652,0.0202844,,,,,,,,,,,,,,,,,,,,,,,
1.22036,0.0202539,,,,,,,,,,,,,,,,,,,,,,,
1.23493,0.0202214,,,,,,,,,,,,,,,,,,,,,,,
1.25026,0.0201869,,,,,,,,,,,,,,,,,,,,,,,
1.2664,0.0201503,,,,,,,,,,,,,,,,,,,,,,,
1.28339,0.0201114,,,,,,,,,,,,,,,,,,,,,,,
1.30128,0.02007,,,,,,,,,,,,,,,,,,,,,,,
1.32011,0.020026,,,,,,,,,,,,,,,,,,,,,,,
1.33993,0.0199792,,,,,,,,,,,,,,,,,,,,,,,
1.36079,0.0199294,,,,,,,,,,,,,,,,,,,,,,,
1.38275,0.0198763,,,,,,,,,,,,,,,,,,,,,,,
1.40586,0.0198198,,,,,,,,,,,,,,,,,,,,,,,
1.43019,0.0197596,,,,,,,,,,,,,,,,,,,,,,,
1.45581,0.0196954,,,,,,,,,,,,,,,,,,,,,,,
1.48277,0.0196269,,,,,,,,,,,,,,,,,,,,,,,
1.51115,0.019554,,,,,,,,,,,,,,,,,,,,,,,
1.54102,0.0194761,,,,,,,,,,,,,,,,,,,,,,,
1.57246,0.019393,,,,,,,,,,,,,,,,,,,,,,,
1.60556,0.0193043,,,,,,,,,,,,,,,,,,,,,,,
1.64041,0.0192096,,,,,,,,,,,,,,,,,,,,,,,
1.67708,0.0191086,,,,,,,,,,,,,,,,,,,,,,,
1.71569,0.0190006,,,,,,,,,,,,,,,,,,,,,,,
1.75633,0.0188854,,,,,,,,,,,,,,,,,,,,,,,
1.79911,0.0187623,,,,,,,,,,,,,,,,,,,,,,,
1.84413,0.0186308,,,,,,,,,,,,,,,,,,,,,,,
1.89153,0.0184905,,,,,,,,,,,,,,,,,,,,,,,
1.94143,0.0183406,,,,,,,,,,,,,,,,,,,,,,,
1.99395,0.0181807,,,,,,,,,,,,,,,,,,,,,,,
2.04923,0.01801,,,,,,,,,,,,,,,,,,,,,,,
2.10742,0.0178279,,,,,,,,,,,,,,,,,,,,,,,
2.16868,0.0176337,,,,,,,,,,,,,,,,,,,,,,,
2.23316,0.0174268,,,,,,,,,,,,,,,,,,,,,,,
2.30103,0.0172065,,,,,,,,,,,,,,,,,,,,,,,
2.37248,0.016972,,,,,,,,,,,,,,,,,,,,,,,
2.44768,0.0167227,,,,,,,,,,,,,,,,,,,,,,,
2.52685,0.0164578,,,,,,,,,,,,,,,,,,,,,,,
2.61018,0.0161769,,,,,,,,,,,,,,,,,,,,,,,
2.6979,0.0158792,,,,,,,,,,,,,,,,,,,,,,,
2.79023,0.0155642,,,,,,,,,,,,,,,,,,,,,,,
2.88742,0.0152315,,,,,,,,,,,,,,,,,,,,,,,
2.98973,0.0148808,,,,,,,,,,,,,,,,,,,,,,,
3.09742,0.0145119,,,,,,,,,,,,,,,,,,,,,,,
3.21079,0.0141247,,,,,,,,,,,,,,,,,,,,,,,
3.33011,0.0137194,,,,,,,,,,,,,,,,,,,,,,,
3.45572,0.0132963,,,,,,,,,,,,,,,,,,,,,,,
3.58794,0.0128561,,,,,,,,,,,,,,,,,,,,,,,
3.72712,0.0123997,,,,,,,,,,,,,,,,,,,,,,,
3.87362,0.0119283,,,,,,,,,,,,,,,,,,,,,,,
4.02783,0.0114437,,,,,,,,,,,,,,,,,,,,,,,
4.19017,0.0109477,,,,,,,,,,,,,,,,,,,,,,,
4.36104,0.0104429,,,,,,,,,,,,,,,,,,,,,,,
4.54091,0.00993231,,,,,,,,,,,,,,,,,,,,,,,
4.73024,0.00941932,,,,,,,,,,,,,,,,,,,,,,,
4.92954,0.00890803,,,,,,,,,,,,,,,,,,,,,,,
5.13933,0.00840328,,,,,,,,,,,,,,,,,,,,,,,
5.36016,0.00791049,,,,,,,,,,,,,,,,,,,,,,,
5.59261,0.00743631,,,,,,,,,,,,,,,,,,,,,,,
5.8373,0.00698805,,,,,,,,,,,,,,,,,,,,,,,
6.09486,0.00657517,,,,,,,,,,,,,,,,,,,,,,,
6.36598,0.00620765,,,,,,,,,,,,,,,,,,,,,,,
6.65138,0.00590009,,,,,,,,,,,,,,,,,,,,,,,
6.95179,0.00566623,,,,,,,,,,,,,,,,,,,,,,,
7.26801,0.00553105,,,,,,,,,,,,,,,,,,,,,,,
7.60088,0.00551147,,,,,,,,,,,,,,,,,,,,,,,
