"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         184,      -4.622544943,       -3.81367584,      -3.637018494,      -2.135880629,      -9.889807525
          0,           0,         185,      -4.618688643,      -3.817646309,      -3.641637578,      -2.131939949,      -9.885424178
          0,           0,         186,      -4.615105063,      -3.819108058,      -3.643970508,      -2.128295567,      -9.881220187
          0,           0,         187,      -4.611907819,      -3.818080752,      -3.644002761,      -2.125060398,      -9.877231009
          0,           0,         188,      -4.609198517,      -3.814743643,      -3.641862832,       -2.12233455,      -9.873469441
          0,           0,         189,      -4.607064161,      -3.809410111,      -3.637805492,      -2.120202945,      -9.870048684
          0,           0,         190,       -4.60557506,      -3.802486285,      -3.632179615,      -2.118733411,      -9.867046857
          0,           0,         191,      -4.604783251,      -3.794424425,       -3.62538873,      -2.117975257,      -9.864405557
          0,           0,         192,      -4.604721428,       -3.78568083,      -3.617852641,      -2.117958319,       -9.86202929
          0,           0,         193,      -4.605402374,      -3.776684026,       -3.60997613,      -2.118692471,      -9.859856691
          0,           0,         194,      -4.606818856,      -3.767815043,      -3.602127345,       -2.12016759,      -9.857886238
          0,           0,         195,      -4.608944025,      -3.759398297,      -3.594625676,         -2.122354,      -9.856222461
          0,           0,         196,        -4.6117323,      -3.751700155,      -3.587737243,      -2.125203405,      -9.854909747
          0,           0,         197,      -4.615120793,      -3.744932301,      -3.581675586,      -2.128650368,      -9.853836099
          0,           0,         198,      -4.619031297,      -3.739257544,      -3.576605377,      -2.132614362,      -9.852961217
          0,           0,         199,      -4.623372848,       -3.73479632,      -3.572647476,      -2.137002409,      -9.852235807
          0,           0,         200,      -4.628044853,       -3.73163285,      -3.569884228,        -2.1417123,      -9.851630179
          0,           0,         201,      -4.632940707,      -3.729820367,      -3.568364308,        -2.1466363,      -9.851102101
          0,           0,         202,      -4.637951752,       -3.72938528,      -3.568106814,      -2.151665192,      -9.850663729
          0,           0,         203,      -4.642971355,      -3.730330056,      -3.569104471,      -2.156692412,      -9.850250408
          0,           0,         204,      -4.647898827,      -3.732634905,      -3.571325966,      -2.161617989,        -9.8498372
          0,           0,         205,      -4.652642887,      -3.736258347,      -3.574717516,      -2.166351967,      -9.849427027
          0,           0,         206,      -4.657124361,      -3.741136778,      -3.579203777,      -2.170817014,      -9.849002031
          0,           0,         207,      -4.661277932,      -3.747183167,       -3.58468831,      -2.174950008,      -9.848570215
          0,           0,         208,      -4.665052819,      -3.754285018,       -3.59105378,      -2.178702533,       -9.84811599
          0,           0,         209,      -4.668412474,       -3.76230193,      -3.598162161,      -2.182040339,      -9.847612938
          0,           0,         210,      -4.671333452,       -3.77106311,      -3.605855233,       -2.18494201,      -9.847076576
          0,           0,         211,      -4.673803799,        -3.7803655,      -3.613955743,      -2.187397167,      -9.846484014
          0,           0,         212,       -4.67582127,      -3.789973236,      -3.622269623,      -2.189404564,      -9.845836595
          0,           0,         213,      -4.677391703,        -3.7996195,      -3.630589676,      -2.190970396,      -9.845130902
          0,           0,         214,      -4.678527759,      -3.809011919,      -3.638701033,       -2.19210706,      -9.844365906
          0,           0,         215,      -4.679248156,      -3.817842578,       -3.64638856,      -2.192832474,      -9.843536586
