"       ""CD""       ","       ""CL""       ",,,,,,,,,,,,,
0.027747424,1.080016743,,,,,,,,,,,,,
0.027736106,1.079963622,,,,,,,,,,,,,
0.027725616,1.079913248,,,,,,,,,,,,,
0.027715928,1.079865661,,,,,,,,,,,,,
0.02770703,1.079820836,,,,,,,,,,,,,
0.027698894,1.079778773,,,,,,,,,,,,,
0.027691507,1.079739469,,,,,,,,,,,,,
0.027684856,1.079702929,,,,,,,,,,,,,
0.027678918,1.079669193,,,,,,,,,,,,,
0.02767368,1.079638286,,,,,,,,,,,,,
0.027669118,1.079610207,,,,,,,,,,,,,
0.027665183,1.079584903,,,,,,,,,,,,,
0.027661853,1.079562357,,,,,,,,,,,,,
0.027659117,1.079542565,,,,,,,,,,,,,
0.027656963,1.079525554,,,,,,,,,,,,,
0.027655341,1.079511273,,,,,,,,,,,,,
0.027654283,1.079499726,,,,,,,,,,,,,
0.027653754,1.079490879,,,,,,,,,,,,,
0.027653722,1.079484705,,,,,,,,,,,,,
0.027654143,1.079481085,,,,,,,,,,,,,
0.027654964,1.079479918,,,,,,,,,,,,,
0.027656163,1.079481166,,,,,,,,,,,,,
0.027657715,1.079484777,,,,,,,,,,,,,
0.027659626,1.079490716,,,,,,,,,,,,,
0.027661797,1.079498917,,,,,,,,,,,,,
0.027664169,1.079509229,,,,,,,,,,,,,
0.027666724,1.079521556,,,,,,,,,,,,,
0.027669439,1.079535906,,,,,,,,,,,,,
0.027672335,1.079552335,,,,,,,,,,,,,
0.027675432,1.079570796,,,,,,,,,,,,,
0.027678728,1.079591341,,,,,,,,,,,,,
0.027682197,1.079613969,,,,,,,,,,,,,
0.027685816,1.079638685,,,,,,,,,,,,,
0.027689598,1.079665472,,,,,,,,,,,,,
0.027693484,1.079694236,,,,,,,,,,,,,
0.027697408,1.079724863,,,,,,,,,,,,,
0.027701415,1.079757528,,,,,,,,,,,,,
0.027705512,1.079792238,,,,,,,,,,,,,
0.027709661,1.07982882,,,,,,,,,,,,,
0.027713836,1.079867182,,,,,,,,,,,,,
0.027718031,1.079907375,,,,,,,,,,,,,
0.027722228,1.079949327,,,,,,,,,,,,,
0.027726403,1.079992915,,,,,,,,,,,,,
0.027730499,1.08003804,,,,,,,,,,,,,
0.027734543,1.080084711,,,,,,,,,,,,,
0.027738525,1.080132937,,,,,,,,,,,,,
0.027742446,1.080182799,,,,,,,,,,,,,
0.027746277,1.08023426,,,,,,,,,,,,,
0.027749975,1.080287192,,,,,,,,,,,,,
0.027753478,1.080341445,,,,,,,,,,,,,
0.027756754,1.080396958,,,,,,,,,,,,,
0.02775982,1.080453769,,,,,,,,,,,,,
0.027762712,1.08051193,,,,,,,,,,,,,
0.027765441,1.080571412,,,,,,,,,,,,,
0.02776801,1.080632209,,,,,,,,,,,,,
0.027770409,1.080694255,,,,,,,,,,,,,
0.027772636,1.080757479,,,,,,,,,,,,,
0.027774707,1.080821895,,,,,,,,,,,,,
0.027776629,1.080887526,,,,,,,,,,,,,
0.027778387,1.080954398,,,,,,,,,,,,,
0.02777995,1.081022435,,,,,,,,,,,,,
0.02778129,1.081091581,,,,,,,,,,,,,
0.027782376,1.081161768,,,,,,,,,,,,,
0.027783189,1.08123293,,,,,,,,,,,,,
0.027783712,1.081305008,,,,,,,,,,,,,
0.027783928,1.081377996,,,,,,,,,,,,,
0.027783842,1.081451841,,,,,,,,,,,,,
0.027783478,1.081526531,,,,,,,,,,,,,
0.02778283,1.081602016,,,,,,,,,,,,,
0.027781874,1.081678223,,,,,,,,,,,,,
0.027780591,1.081755043,,,,,,,,,,,,,
0.027778964,1.08183244,,,,,,,,,,,,,
0.027776998,1.081910435,,,,,,,,,,,,,
0.02777469,1.08198901,,,,,,,,,,,,,
0.027772038,1.082068158,,,,,,,,,,,,,
0.027769091,1.082147932,,,,,,,,,,,,,
0.02776598,1.08222854,,,,,,,,,,,,,
0.027762659,1.082309895,,,,,,,,,,,,,
0.027759064,1.0823919,,,,,,,,,,,,,
0.027755143,1.082474516,,,,,,,,,,,,,
0.027750885,1.082557763,,,,,,,,,,,,,
0.027746304,1.08264165,,,,,,,,,,,,,
0.027741539,1.08272628,,,,,,,,,,,,,
0.027737284,1.082812455,,,,,,,,,,,,,
0.027734239,1.082901029,,,,,,,,,,,,,
0.027730722,1.082990001,,,,,,,,,,,,,
0.027726989,1.083079647,,,,,,,,,,,,,
0.027721975,1.083168676,,,,,,,,,,,,,
0.027716105,1.08325765,,,,,,,,,,,,,
0.027709788,1.083346941,,,,,,,,,,,,,
0.027703203,1.083436613,,,,,,,,,,,,,
0.027696393,1.083526697,,,,,,,,,,,,,
0.027689347,1.083617161,,,,,,,,,,,,,
0.027682049,1.083707934,,,,,,,,,,,,,
0.027674494,1.083798984,,,,,,,,,,,,,
0.027666686,1.083890305,,,,,,,,,,,,,
0.027658623,1.083981851,,,,,,,,,,,,,
0.027650297,1.084073539,,,,,,,,,,,,,
0.027641709,1.084165332,,,,,,,,,,,,,
0.027632856,1.084257196,,,,,,,,,,,,,
0.027623749,1.084349112,,,,,,,,,,,,,
0.02761438,1.084441075,,,,,,,,,,,,,
0.027604731,1.084532999,,,,,,,,,,,,,
0.027594802,1.084624832,,,,,,,,,,,,,
0.027584612,1.084716577,,,,,,,,,,,,,
0.02757418,1.084808273,,,,,,,,,,,,,
0.027563526,1.084899976,,,,,,,,,,,,,
